country_id,name
"1","Buenos Aires"
"2","Buenos Aires-GBA"
"3","Capital Federal"
"4","Catamarca"
"5","Chaco"
"6","Chubut"
"7","Cordoba"
"8","Corrientes"
"9","Entre Rios"
"10","Formosa"
"11","Jujuy"
"12","La Pampa"
"13","La Rioja"
"14","Mendoza"
"15","Misiones"
"16","Neuquen"
"17","Rio Negro"
"18","Salta"
"19","San Juan"
"20","San Luis"
"21","Santa Cruz"
"22","Santa Fe"
"23","Santiago del Estero"
"24","Tierra del Fuego"
"25","Tucuman"
